sex,age,race,priors_count,juv_fel_count,juv_misd_count,juv_other_count,decile_score,is_recid,jail_time
Male,32,African-American,0,0,0,0,8,0,303.8666666666667
Male,36,Caucasian,2,0,0,0,1,0,23.2
Male,20,African-American,1,1,0,1,10,1,1126.4166666666667
Male,23,Caucasian,1,0,0,0,7,0,45.85
Male,39,Caucasian,17,0,0,0,2,1,845.6166666666667
Female,49,Caucasian,6,0,0,0,6,0,120.55
Female,23,Caucasian,1,0,0,0,3,0,101.9
Male,34,African-American,2,0,0,0,10,0,1666.7666666666667
Female,21,African-American,0,0,0,0,9,0,-10.4
Male,20,African-American,1,1,0,0,3,0,21.883333333333333
Female,33,African-American,0,0,0,0,3,0,23.6
Female,21,Caucasian,2,0,0,0,5,0,2924.15
Male,22,African-American,0,0,0,0,7,1,790.35
Male,23,Hispanic,0,0,0,0,7,0,24.633333333333333
Male,26,African-American,2,0,0,0,3,1,50.88333333333333
Male,39,Caucasian,1,1,0,0,4,0,94.16666666666667
Male,26,African-American,5,0,0,0,10,0,1752.75
Male,33,Caucasian,0,0,0,0,1,0,166.2
Male,52,Caucasian,1,0,0,0,1,0,40.266666666666666
Male,36,African-American,0,0,0,0,6,0,19.85
Male,30,African-American,4,0,0,0,7,1,29.916666666666668
Female,23,African-American,3,0,2,0,6,0,31.333333333333332
Male,23,Caucasian,2,0,0,0,7,1,3936.5333333333333
Male,40,Caucasian,1,0,0,0,2,0,21.116666666666667
Male,52,African-American,3,0,0,0,6,1,598.1666666666666
Male,31,African-American,1,0,0,0,1,0,335.56666666666666
Male,37,African-American,1,0,0,0,10,0,75.76666666666667
Male,58,Caucasian,3,0,0,0,4,1,366.15
Male,22,African-American,0,0,0,2,3,1,313.45
Male,24,Other,9,0,1,0,10,1,110.91666666666667
Male,25,African-American,3,0,0,0,7,0,9411.15
Male,40,Hispanic,0,0,0,0,3,0,-0.8166666666666667
Male,53,Caucasian,36,0,0,0,6,1,791.8666666666667
Male,57,African-American,6,0,0,0,9,1,1840.3166666666666
Male,58,African-American,2,0,0,0,7,0,380.73333333333335
Male,25,Caucasian,0,0,0,0,7,0,22.4
Male,33,African-American,5,0,1,0,4,0,26.45
Male,24,Caucasian,2,0,0,0,2,0,26.916666666666668
Male,20,African-American,1,0,0,0,5,0,7251.9
Male,26,Other,0,0,0,0,1,1,53.35
Female,34,Caucasian,10,0,0,0,9,1,333.75
Female,27,Caucasian,1,0,0,0,4,0,23.166666666666668
Male,26,African-American,2,0,0,0,10,1,27.4
Male,41,African-American,9,2,1,0,9,1,23.816666666666666
Male,28,African-American,1,0,0,0,4,1,22.533333333333335
Male,30,Caucasian,3,0,0,0,9,1,15.166666666666666
Male,30,African-American,14,0,0,0,6,1,550.6
Male,47,Caucasian,2,0,0,0,5,1,48.88333333333333
Male,42,African-American,14,0,0,0,7,1,41.5
Male,23,African-American,0,0,0,0,2,1,22.516666666666666
Male,31,African-American,9,0,0,0,8,1,23.0
Male,25,Hispanic,4,0,0,0,4,0,29.2
Female,46,Caucasian,0,0,0,0,1,0,44.81666666666667
Male,50,Hispanic,2,0,0,0,1,0,23.366666666666667
Female,27,Caucasian,0,0,0,0,3,0,13.833333333333334
Male,35,African-American,17,0,1,0,7,1,49.5
Male,47,Hispanic,0,0,0,0,4,0,31.733333333333334
Male,31,African-American,15,0,0,0,8,0,-4.4
Female,30,Other,4,0,0,0,7,1,42.8
Male,42,African-American,5,0,0,0,6,0,71.2
Male,25,African-American,6,0,1,0,4,1,103.76666666666667
Female,34,Caucasian,2,0,0,0,2,0,21.566666666666666
Male,32,African-American,19,0,3,0,9,1,27.4
Male,45,African-American,11,0,0,0,3,0,23.733333333333334
Male,31,Caucasian,5,0,0,0,3,0,3024.05
Male,27,African-American,1,0,0,2,5,0,384.48333333333335
Male,30,African-American,11,0,0,0,8,1,63.666666666666664
Male,46,Other,2,0,0,0,3,0,24.083333333333332
Female,25,African-American,6,0,0,0,7,1,288.18333333333334
Male,29,Caucasian,2,0,0,0,9,1,17.766666666666666
Male,48,Caucasian,0,0,0,0,6,1,21.516666666666666
Male,40,Hispanic,1,0,0,0,1,0,1609.9166666666667
Male,44,African-American,0,0,0,0,1,0,15.5
Male,50,Caucasian,0,0,0,0,1,0,20.1
Female,29,Hispanic,0,0,0,0,4,1,29.816666666666666
Male,23,African-American,6,0,0,0,6,1,26.45
Female,47,Caucasian,0,0,0,0,1,0,3.683333333333333
Male,21,Caucasian,1,0,0,0,4,1,14.683333333333334
Male,30,African-American,19,0,1,0,10,1,222.31666666666666
Male,25,African-American,3,0,0,0,6,1,27.033333333333335
Male,22,Caucasian,1,0,0,0,3,0,25.666666666666668
Male,30,African-American,11,0,0,0,8,1,63.666666666666664
Female,42,African-American,0,0,0,0,1,0,5.1
Male,27,African-American,6,0,0,0,4,1,27.433333333333334
Male,21,Other,0,0,0,0,4,1,-4.25
Male,44,Caucasian,7,0,0,0,7,0,2310.2166666666667
Male,34,African-American,1,0,0,0,2,0,53.1
Male,30,Caucasian,11,0,0,0,10,1,-3.6666666666666665
Male,59,Caucasian,1,0,0,0,1,1,8.0
Female,26,African-American,4,0,0,0,8,1,21.866666666666667
Male,56,African-American,14,0,0,0,7,0,15865.183333333332
Male,50,African-American,24,0,0,2,8,1,777.15
Male,18,Hispanic,1,1,0,0,9,0,457.6166666666667
Female,43,Caucasian,22,0,0,0,10,1,640.45
Male,69,Caucasian,0,0,0,0,5,0,21.4
Male,25,African-American,13,4,0,0,10,1,872.05
Male,48,African-American,8,0,0,1,9,1,268.2
Male,40,Hispanic,2,0,0,0,2,0,24.85
Male,30,African-American,8,2,0,0,6,1,20.366666666666667
Female,27,African-American,4,0,0,0,6,0,4.216666666666667
Male,29,Caucasian,8,0,0,1,8,0,-0.5333333333333333
Male,26,African-American,13,0,2,0,10,0,1578.6833333333334
Male,36,African-American,19,0,0,0,8,1,3.4166666666666665
Male,33,Hispanic,0,0,0,0,2,0,15.883333333333333
Male,30,African-American,5,0,0,0,3,0,21.65
Male,26,African-American,3,0,0,1,6,1,43.833333333333336
Female,52,African-American,3,0,0,0,1,0,5.15
Male,34,Caucasian,2,0,0,0,1,0,23.816666666666666
Male,26,African-American,18,0,1,0,8,0,4396.016666666666
Male,40,Caucasian,4,0,0,0,1,0,24.95
Male,20,African-American,1,1,0,0,4,1,15.866666666666667
Male,32,African-American,8,0,0,1,9,0,24.3
Male,21,African-American,1,0,0,0,8,0,20.433333333333334
Male,33,Other,2,0,0,0,7,0,27.933333333333334
Male,22,African-American,3,0,0,0,9,1,19.1
Male,27,African-American,14,2,0,0,10,1,39.28333333333333
Male,50,African-American,3,0,0,0,3,0,21.816666666666666
Male,21,African-American,0,0,0,0,8,1,29.983333333333334
Female,55,African-American,1,0,0,0,1,0,51.21666666666667
Female,50,Caucasian,14,0,0,0,9,0,743.8166666666667
Male,26,Caucasian,0,0,0,0,7,1,44.28333333333333
Male,25,African-American,1,0,0,0,3,0,237.9
Male,28,Caucasian,9,0,0,2,8,0,2807.4
Male,61,African-American,15,0,0,0,6,1,28.266666666666666
Male,49,Caucasian,2,0,0,0,1,0,31.35
Male,21,Caucasian,1,0,1,1,3,1,19.75
Female,32,Caucasian,2,0,0,0,10,1,788.35
Male,44,Caucasian,6,0,0,0,3,0,-3.2666666666666666
Male,21,African-American,2,0,0,0,8,1,863.4166666666666
Male,43,Caucasian,4,0,0,0,5,0,1148.5
Male,60,Other,1,0,0,0,1,1,30.35
Male,31,African-American,4,0,0,0,8,1,580.55
Male,34,Caucasian,0,0,0,0,1,0,23.233333333333334
Female,49,Caucasian,4,0,0,0,5,0,89.2
Male,36,Other,2,0,0,0,3,1,71.68333333333334
Male,22,African-American,3,0,1,1,10,1,32.31666666666667
Male,45,African-American,0,0,0,0,3,1,23.3
Male,19,African-American,0,0,0,0,10,0,6697.7
Male,25,Other,0,0,0,0,2,1,485.45
Male,32,African-American,6,0,0,0,8,1,3123.266666666667
Female,29,Caucasian,1,0,0,0,5,1,55.2
Male,51,African-American,3,0,0,0,1,0,7.85
Female,53,African-American,10,0,0,0,2,1,96.81666666666666
Male,26,African-American,13,0,0,0,8,1,267.35
Male,20,African-American,0,0,0,0,5,1,44.266666666666666
Male,42,African-American,7,0,0,0,5,0,23.316666666666666
Male,53,Caucasian,1,0,0,0,5,0,434.18333333333334
Male,27,African-American,1,0,0,0,3,0,18.533333333333335
Male,23,African-American,0,0,0,0,3,1,26.7
Male,38,Hispanic,2,0,0,0,2,0,704.1833333333333
Male,29,Caucasian,2,0,0,0,2,1,607.35
Male,37,African-American,20,0,0,0,9,1,863.3833333333333
Male,34,African-American,27,0,1,0,7,0,20.75
Male,30,African-American,4,0,0,0,8,0,128.08333333333334
Female,31,African-American,14,0,0,0,8,0,43.516666666666666
Female,21,Caucasian,0,0,0,2,6,0,4.1
Male,52,Hispanic,3,0,0,0,4,0,331.28333333333336
Female,30,Caucasian,1,0,0,0,6,0,191.21666666666667
Male,46,Other,0,0,0,0,1,1,14.35
Male,49,Hispanic,0,0,0,0,2,0,24.55
Male,32,African-American,14,0,0,0,9,1,50.36666666666667
Male,30,African-American,5,0,0,0,2,0,25.866666666666667
Male,37,African-American,12,1,0,1,9,1,16.783333333333335
Male,22,Caucasian,3,0,0,0,10,1,255.43333333333334
Male,25,African-American,1,0,0,0,3,0,38.38333333333333
Male,34,African-American,1,0,0,0,5,0,28.016666666666666
Male,32,African-American,3,0,0,0,2,0,27.266666666666666
Male,51,African-American,4,0,0,0,3,0,20.383333333333333
Male,33,Caucasian,0,0,0,0,9,1,16.45
Male,27,African-American,6,0,0,0,7,1,46.18333333333333
Male,22,African-American,1,0,1,0,8,1,-4.083333333333333
Female,21,Caucasian,1,0,0,0,6,0,44.55
Male,52,Other,13,0,0,0,7,1,41.68333333333333
Female,52,Caucasian,6,0,0,0,1,0,165.1
Male,42,African-American,17,0,0,0,7,1,1244.6333333333334
Female,30,Caucasian,9,0,0,0,4,1,110.06666666666666
Male,39,Caucasian,17,0,0,0,2,1,845.6166666666667
Male,25,African-American,15,0,1,1,9,0,2855.116666666667
Female,23,African-American,2,0,0,0,10,1,14.666666666666666
Male,21,African-American,0,0,0,0,7,1,16.183333333333334
Male,34,African-American,3,0,0,0,7,0,2279.4333333333334
Male,38,Native American,25,0,0,1,10,1,198.2
Male,21,African-American,2,0,0,0,8,1,863.4166666666666
Male,38,Caucasian,3,0,0,0,3,0,31.1
Male,25,Other,2,0,0,0,2,0,-9.666666666666666
Male,46,African-American,9,0,0,0,4,0,121.46666666666667
Male,21,African-American,0,0,0,1,8,1,22.85
Male,24,Caucasian,8,0,1,2,6,1,292.55
Male,35,African-American,5,0,0,0,8,0,835.85
Male,32,African-American,11,2,0,2,10,0,30.516666666666666
Male,24,African-American,2,0,0,0,4,0,95.91666666666667
Male,29,African-American,1,0,0,0,8,0,981.05
Female,21,African-American,1,0,0,0,3,1,47.11666666666667
Female,24,Caucasian,1,0,0,4,4,0,17.816666666666666
Female,36,African-American,13,0,0,0,9,1,798.8
Female,22,African-American,0,0,0,0,4,0,43.68333333333333
Male,26,African-American,8,0,0,0,9,1,24.033333333333335
Male,36,African-American,11,0,0,0,7,1,21.083333333333332
Male,20,African-American,1,0,0,0,10,1,49.06666666666667
Male,24,Caucasian,0,0,0,0,2,0,24.566666666666666
Male,21,African-American,1,0,0,2,5,0,26.366666666666667
Male,31,African-American,0,0,0,0,2,1,31.05
Male,34,Caucasian,0,0,0,0,1,0,5.883333333333334
Male,40,Caucasian,1,0,0,0,2,0,47.4
Male,23,African-American,0,0,0,0,8,0,76.08333333333333
Male,21,Hispanic,0,0,0,0,7,0,5.783333333333333
Male,20,African-American,0,0,0,1,10,1,3.8833333333333333
Male,24,Other,0,0,0,0,2,0,46.88333333333333
Male,24,African-American,4,0,0,0,10,1,17.5
Male,22,African-American,0,0,0,0,4,0,44.68333333333333
Male,20,African-American,1,1,0,0,8,1,353.4166666666667
Male,45,African-American,8,0,0,0,7,1,18.2
Male,25,African-American,7,0,0,1,8,0,306.51666666666665
Male,28,Hispanic,7,0,0,0,8,0,25.983333333333334
Male,54,Caucasian,6,0,0,0,2,1,22.7
Male,48,Caucasian,2,0,0,0,3,0,238.76666666666668
Male,32,African-American,2,0,0,0,10,0,669.6666666666666
Male,25,African-American,2,0,0,0,7,0,1200.7833333333333
Male,28,African-American,1,0,0,0,7,0,698.2166666666667
Female,39,Caucasian,8,0,0,0,7,1,764.4333333333333
Male,33,African-American,12,0,0,0,9,1,68.9
Male,20,Caucasian,1,0,0,3,8,1,25.65
Male,27,African-American,4,1,0,0,5,1,41.833333333333336
Male,40,African-American,2,0,0,0,3,1,19.983333333333334
Male,21,Hispanic,0,0,0,0,3,0,4.533333333333333
Male,49,Caucasian,12,0,0,0,5,0,519.85
Female,65,African-American,0,0,0,0,1,0,23.816666666666666
Male,26,African-American,9,0,0,0,7,1,268.75
Male,20,Caucasian,0,0,0,0,10,1,20.9
Female,24,Hispanic,2,0,0,0,6,1,23.266666666666666
Male,24,African-American,10,5,1,0,10,1,5.5
Male,21,African-American,2,0,0,0,10,1,2065.7833333333333
Male,26,Caucasian,0,0,0,0,5,0,0.16666666666666666
Male,31,African-American,9,0,0,0,8,1,23.0
Male,22,African-American,0,0,0,0,8,1,19.983333333333334
Male,21,Hispanic,0,0,0,2,9,1,16.3
Male,21,Caucasian,0,0,0,1,4,1,22.2
Male,20,African-American,1,1,0,0,10,1,4489.233333333334
Female,51,African-American,0,0,0,0,1,0,20.633333333333333
Female,23,Hispanic,0,0,0,0,6,1,37.05
Male,25,African-American,28,0,0,0,9,1,22.216666666666665
Male,43,African-American,8,1,0,0,4,1,925.1666666666666
Male,37,African-American,3,0,0,0,1,1,24.833333333333332
Female,48,Caucasian,0,0,0,0,1,0,28.5
Male,36,African-American,7,0,0,0,6,1,19.633333333333333
Female,20,Other,0,0,0,0,5,0,17.416666666666668
Male,42,Caucasian,8,0,0,0,4,0,24.8
Male,21,African-American,0,0,0,0,4,1,101.33333333333333
Female,40,African-American,15,0,0,0,7,1,1579.25
Female,29,Caucasian,3,0,0,0,3,0,5.833333333333333
Male,26,African-American,5,0,0,0,10,0,1752.75
Female,32,African-American,0,0,0,0,4,0,69.68333333333334
Male,23,African-American,0,0,0,0,2,1,27.666666666666668
Male,36,Caucasian,0,0,0,0,1,0,5.566666666666666
Male,28,Hispanic,0,0,0,0,1,1,6.333333333333333
Male,31,Caucasian,10,0,0,0,2,1,43.583333333333336
Male,24,African-American,3,0,1,0,10,1,18.45
Male,35,African-American,4,0,0,0,4,0,264.73333333333335
Male,36,African-American,4,0,0,0,5,1,63.166666666666664
Male,46,Caucasian,2,0,0,1,4,1,74.76666666666667
Male,49,Caucasian,0,0,0,0,1,0,22.133333333333333
Female,27,African-American,4,0,0,0,6,1,23.866666666666667
Male,28,Hispanic,3,0,0,0,5,0,18.116666666666667
Male,33,Caucasian,0,0,0,0,2,0,129.68333333333334
Male,26,Caucasian,0,0,0,0,6,1,123.08333333333333
Male,33,Caucasian,3,0,0,0,3,0,6.566666666666666
Female,51,African-American,0,0,0,0,7,0,19.266666666666666
Male,37,Other,0,0,0,0,1,0,6.25
Male,50,Caucasian,0,0,0,0,1,0,52.75
Male,30,African-American,1,0,0,0,9,0,-4.016666666666667
Female,26,African-American,3,0,0,0,5,1,184.71666666666667
Male,27,Caucasian,1,0,0,0,1,0,25.333333333333332
Male,21,African-American,0,0,0,0,5,0,1203.8333333333333
Male,39,Other,1,0,0,0,1,0,42.166666666666664
Female,49,African-American,25,0,0,0,10,1,239.48333333333332
Male,51,Caucasian,1,0,0,0,1,1,14.583333333333334
Male,26,African-American,4,0,0,0,9,1,22.15
Male,45,Hispanic,8,0,0,0,6,0,26.016666666666666
Male,67,Caucasian,2,0,0,0,2,0,672.4
Male,41,African-American,0,0,0,0,6,0,77.38333333333334
Male,21,Caucasian,2,0,0,0,4,1,1865.3166666666666
Female,33,African-American,3,0,0,0,4,1,116.76666666666667
Male,21,Hispanic,0,0,0,0,10,0,169.65
Male,28,African-American,0,0,0,0,3,1,363.6166666666667
Male,32,Caucasian,6,0,0,0,5,0,668.9333333333333
Male,26,Caucasian,9,0,0,0,4,1,29.95
Female,50,Caucasian,14,0,0,0,9,0,743.8166666666667
Male,25,African-American,1,0,0,0,3,0,237.9
Male,24,Other,0,0,0,0,2,0,9552.5
Male,20,African-American,1,0,0,0,10,1,49.06666666666667
Male,51,Caucasian,2,0,0,0,1,0,551.45
Male,35,African-American,13,0,0,0,8,1,121.2
Female,25,African-American,7,0,0,0,9,1,2283.9166666666665
Male,22,African-American,3,0,0,0,7,0,2547.9333333333334
Male,29,Caucasian,3,0,0,0,2,0,56.11666666666667
Male,33,Caucasian,1,0,0,0,2,0,21.7
Male,34,Hispanic,2,0,0,0,3,1,4.933333333333334
Male,33,Caucasian,14,0,0,1,9,0,1682.25
Male,22,African-American,1,0,0,0,9,1,125.6
Male,56,African-American,18,0,0,0,6,0,1825.1666666666667
Female,21,African-American,1,0,0,0,3,1,47.11666666666667
Male,24,African-American,3,0,0,0,6,1,23.15
Male,55,African-American,0,0,0,0,9,0,2690.016666666667
Male,37,Hispanic,2,0,0,1,3,0,27.683333333333334
Male,34,African-American,21,2,1,3,9,1,799.2333333333333
Male,23,African-American,3,1,0,0,9,1,44.916666666666664
Male,22,African-American,2,0,0,0,6,0,20829.6
Male,27,African-American,1,0,0,0,3,1,30.883333333333333
Female,30,Caucasian,2,0,0,0,10,1,1042.7666666666667
Male,25,African-American,0,0,0,0,3,1,99.55
Male,61,Caucasian,0,0,0,0,1,0,17.1
Male,44,Hispanic,7,0,0,0,3,1,626.3333333333334
Male,20,African-American,1,0,0,0,10,0,225.06666666666666
Male,52,African-American,2,0,0,0,9,1,795.3666666666667
Male,29,African-American,3,0,0,0,7,0,28.583333333333332
Male,26,Caucasian,1,0,0,0,2,1,25.533333333333335
Male,33,African-American,18,0,0,3,9,1,21.35
Male,28,Caucasian,1,0,0,0,1,0,24.066666666666666
Male,60,Hispanic,1,0,0,0,1,0,433.25
Male,21,African-American,1,0,0,0,4,1,32.733333333333334
Female,20,Other,0,0,0,0,5,1,261.48333333333335
Male,49,Caucasian,0,0,0,0,1,0,-9.95
Male,31,African-American,0,0,0,0,10,0,5.566666666666666
Male,35,African-American,12,0,0,0,8,1,22.75
Male,36,African-American,25,0,2,1,10,1,23.883333333333333
Male,21,African-American,0,0,0,0,5,0,21.55
Male,35,African-American,17,0,1,0,7,1,49.5
Male,29,Caucasian,7,0,0,0,10,1,30.6
Male,45,Caucasian,0,0,0,0,2,0,65.68333333333334
Male,34,Caucasian,3,0,0,0,2,1,197.66666666666666
Male,23,Other,0,0,0,0,8,1,112.45
Female,43,Caucasian,6,0,0,0,5,0,27.283333333333335
Male,42,Caucasian,0,0,0,0,1,0,27.75
Male,38,African-American,0,0,0,0,3,1,19.6
Male,33,Caucasian,1,0,0,0,3,0,30.633333333333333
Female,25,African-American,0,0,0,0,5,1,26.733333333333334
Female,47,African-American,3,0,0,0,2,0,48.333333333333336
Female,38,African-American,2,0,0,0,7,0,601.8166666666667
Male,37,African-American,6,0,0,0,3,0,27.65
Male,22,African-American,0,0,0,0,9,0,18.1
Female,35,African-American,13,1,0,0,10,0,3849.133333333333
Male,28,African-American,7,0,0,0,7,0,18.816666666666666
Male,31,African-American,0,0,0,0,2,0,191.26666666666668
Male,47,Native American,22,4,0,0,10,1,73.31666666666666
Male,20,African-American,2,0,0,1,6,0,1076.9
Male,24,African-American,3,0,0,0,5,1,6.1
Male,24,African-American,1,0,0,2,9,1,148.93333333333334
Female,23,African-American,1,0,0,0,4,0,19.0
Male,31,Caucasian,1,0,0,0,3,1,936.9166666666666
Male,33,African-American,3,0,0,0,5,1,95.06666666666666
Female,42,African-American,2,0,0,0,2,0,68.95
Male,45,Hispanic,20,0,0,0,3,1,54.25
Male,29,African-American,2,0,0,0,5,0,21.783333333333335
Male,96,Hispanic,2,0,0,0,2,1,20.4
Male,30,Caucasian,13,0,0,0,6,0,8998.133333333333
Male,26,Other,0,0,0,0,1,1,53.35
Male,35,Hispanic,12,0,1,0,9,0,248.86666666666667
Male,26,African-American,5,0,0,0,7,0,7772.633333333333
Male,25,Caucasian,2,0,0,0,8,0,293.1
Male,36,African-American,5,0,0,0,4,0,20.7
Male,30,Caucasian,2,0,0,1,4,1,3.45
Male,28,Caucasian,1,0,0,0,10,0,337.2
Male,26,African-American,0,0,0,0,3,0,4.95
Male,37,Caucasian,2,0,0,0,1,1,350.93333333333334
Male,25,African-American,7,0,0,0,9,1,3.9166666666666665
Male,21,Caucasian,0,0,0,0,3,1,-9.966666666666667
Male,55,Hispanic,2,0,0,0,1,0,671.5666666666667
Male,32,Caucasian,11,1,0,0,10,1,7553.6
Male,39,African-American,4,0,0,0,2,0,163.78333333333333
Male,60,Hispanic,0,0,0,0,4,0,23.283333333333335
Male,22,Caucasian,1,0,0,1,6,0,21.4
Female,22,African-American,2,0,1,0,8,1,839.55
Male,53,African-American,2,0,0,0,3,0,15.6
Male,27,African-American,1,0,0,0,2,1,20.316666666666666
Male,21,African-American,3,0,0,0,7,1,103.41666666666667
Female,33,Hispanic,0,0,0,0,1,0,18.483333333333334
Male,56,African-American,31,0,0,0,6,1,5.516666666666667
Male,29,Caucasian,2,0,0,0,2,1,607.35
Male,52,Other,13,0,0,0,7,1,41.68333333333333
Male,31,African-American,0,0,0,0,6,0,48.03333333333333
Female,31,African-American,0,0,0,0,1,0,13.15
Male,55,Caucasian,33,0,0,0,9,1,5809.633333333333
Female,40,Caucasian,5,0,0,0,10,0,1327.7
Female,20,Caucasian,2,0,0,0,9,0,0.18333333333333332
Male,23,Caucasian,0,0,0,0,5,1,15.633333333333333
Male,39,Hispanic,3,0,0,0,2,0,29.016666666666666
Male,23,African-American,4,2,0,1,10,0,1889.1666666666667
Male,37,African-American,12,1,0,1,9,1,16.783333333333335
Male,21,Caucasian,1,0,0,0,7,0,6073.883333333333
