sex,age,race,priors_count,juv_fel_count,juv_misd_count,juv_other_count,decile_score,is_recid,jail_time
Female,36,Hispanic,1,0,0,0,3,0,33.38333333333333
Male,49,Caucasian,0,0,0,0,1,0,3.8
Male,23,African-American,1,0,0,0,10,1,382.21666666666664
Female,28,Caucasian,0,0,0,0,2,0,22.716666666666665
Male,59,African-American,22,0,0,0,6,1,1661.8333333333333
Male,31,Hispanic,1,0,0,0,7,0,142.23333333333332
Male,52,Caucasian,1,0,0,0,1,0,597.8333333333334
Male,37,Caucasian,11,0,0,0,9,1,20.65
Male,28,African-American,3,0,0,0,6,1,43.833333333333336
Female,47,Hispanic,1,0,0,0,1,0,127.43333333333334
Male,24,Caucasian,0,0,0,0,10,0,382.68333333333334
Male,35,African-American,2,0,0,0,1,0,-3.183333333333333
Male,21,African-American,1,0,0,0,5,1,868.3666666666667
Female,22,African-American,0,0,0,0,8,0,20.45
Female,42,Caucasian,5,0,0,0,4,1,148.28333333333333
Male,53,African-American,10,0,0,0,2,0,29.45
Male,38,African-American,5,0,0,2,3,0,3977.15
Female,52,Caucasian,0,0,0,0,1,0,14.166666666666666
Male,20,African-American,1,0,0,1,9,1,21.5
Female,20,African-American,0,0,0,0,6,0,3.816666666666667
Male,35,African-American,12,0,0,1,6,1,33.93333333333333
Female,20,African-American,0,0,0,0,8,1,287.03333333333336
Male,51,African-American,14,0,0,0,5,0,189.86666666666667
Female,46,African-American,2,0,0,0,10,1,233.13333333333333
Male,28,African-American,2,0,0,0,3,1,1776.6
Female,19,Caucasian,0,0,0,0,3,1,31.1
Female,42,African-American,17,3,0,0,10,1,192.43333333333334
Male,53,Hispanic,9,0,0,0,8,1,3127.9666666666667
Male,49,Caucasian,0,0,0,0,1,0,18.916666666666668
Male,31,Hispanic,0,0,0,0,5,0,17.466666666666665
Male,20,African-American,1,0,1,0,8,1,4.516666666666667
Male,28,African-American,5,0,0,0,5,1,1240.5833333333333
Female,33,Caucasian,1,0,0,0,2,0,48.71666666666667
Male,37,Caucasian,1,0,0,0,1,1,28.15
Male,37,Caucasian,0,0,0,0,3,0,23.216666666666665
Male,22,African-American,12,1,0,0,10,1,846.25
Male,35,African-American,0,0,0,0,6,0,1418.9333333333334
Female,20,African-American,2,0,0,3,10,1,554.9833333333333
Male,31,African-American,11,0,0,2,10,1,-10.633333333333333
Male,22,African-American,2,0,1,2,10,1,2980.883333333333
Male,35,Hispanic,2,0,0,0,1,0,47.15
Male,53,Hispanic,3,0,0,0,7,0,1053.9833333333333
Female,33,Caucasian,10,0,1,0,9,0,4239.833333333333
Male,42,African-American,1,0,0,0,4,1,31.283333333333335
Male,23,African-American,4,0,0,0,9,0,3909.65
Male,26,African-American,3,0,0,0,6,1,23.366666666666667
Male,20,Hispanic,0,0,0,2,3,0,15.25
Male,22,African-American,5,0,0,0,10,1,24.166666666666668
Female,19,Caucasian,2,0,0,0,10,1,534.6
Male,54,Caucasian,0,0,0,0,1,0,23.316666666666666
Male,38,African-American,19,0,0,0,9,1,22.4
Male,30,African-American,2,0,0,0,3,1,46.56666666666667
Male,25,Caucasian,0,0,0,0,2,0,14.933333333333334
Male,53,African-American,0,0,0,0,1,0,23.183333333333334
Male,23,African-American,2,0,1,0,6,1,27.35
Female,28,Hispanic,0,0,0,0,2,0,57.15
Male,29,African-American,9,0,0,0,7,1,114.1
Male,53,Caucasian,0,0,0,0,1,1,1.1666666666666667
Male,55,African-American,4,0,0,0,8,0,389.75
Female,25,African-American,1,0,0,0,8,1,24.65
Male,45,Caucasian,0,0,0,0,6,1,40.0
Male,33,African-American,4,0,0,0,7,1,409.46666666666664
Male,47,African-American,4,0,0,0,10,1,1542.9833333333333
Male,36,African-American,19,0,0,0,8,1,3.4166666666666665
Male,19,Caucasian,1,0,0,2,4,0,13.883333333333333
Male,22,Caucasian,1,0,0,0,4,1,18.416666666666668
Male,46,African-American,3,0,0,0,4,0,50.083333333333336
Male,32,African-American,11,0,0,0,9,1,42.266666666666666
Male,23,Hispanic,1,0,0,0,10,0,4254.716666666666
Male,22,Other,0,0,0,0,9,0,385.1666666666667
Male,34,Caucasian,5,0,0,0,2,0,30.533333333333335
Male,29,African-American,6,0,0,0,6,1,528.9
Male,30,African-American,2,0,0,0,8,1,21.95
Male,46,African-American,0,0,0,0,1,0,24.816666666666666
Male,62,African-American,8,0,0,0,4,0,375.71666666666664
Male,26,African-American,9,0,1,1,10,1,44.083333333333336
Male,29,African-American,2,0,0,1,5,1,5.3
Male,30,African-American,5,0,0,0,9,1,33.13333333333333
Male,23,Caucasian,4,0,1,0,4,1,187.73333333333332
Male,24,Caucasian,0,0,0,0,5,0,37.766666666666666
Female,37,African-American,2,0,0,0,1,0,18.916666666666668
Male,22,African-American,0,0,0,0,4,1,14.266666666666667
Male,21,Caucasian,1,0,0,0,4,0,21.716666666666665
Male,33,African-American,8,0,0,0,6,1,46.06666666666667
Male,41,Caucasian,3,0,0,0,9,0,4036.25
Male,22,Hispanic,2,0,0,0,3,0,18.55
Male,51,Caucasian,7,0,0,0,3,0,7.816666666666666
Female,57,Caucasian,0,0,0,0,2,0,14.533333333333333
Male,62,Caucasian,6,0,0,0,2,0,525.5833333333334
Male,25,African-American,3,0,0,0,3,1,139.35
Male,55,Hispanic,0,0,0,0,1,0,21.716666666666665
Male,26,African-American,2,0,0,0,4,0,91.06666666666666
Male,39,African-American,3,0,0,0,4,1,918.8333333333334
Male,30,African-American,12,4,0,0,9,1,219.2
Male,55,Other,8,0,0,0,1,1,146.75
Female,31,Caucasian,2,0,0,0,3,0,20.266666666666666
Male,34,Hispanic,1,0,0,0,2,0,96.38333333333334
Male,33,Asian,2,0,0,0,8,0,333.43333333333334
Male,25,African-American,21,0,1,0,10,1,55.3
Male,27,Caucasian,2,0,0,0,7,1,21.0
